id_producto,id_sucursal,fecha,accion,cantidad,stock_anterior,stock_nuevo,usuario_responsable
1,1,2025-10-20 09:00:00,Entrada,10,50,60,Jose Hernandez
2,2,2025-10-21 09:00:00,Salida,5,40,35,Luisa Morales
3,3,2025-10-22 09:00:00,Entrada,20,30,50,Mario Garcia
4,4,2025-10-23 09:00:00,Salida,8,70,62,Sofia Campos
5,5,2025-10-24 09:00:00,Ajuste,3,100,103,Rafael Torres
6,3,2025-10-24 10:00:00,Entrada,15,25,40,Patricia Navarro
7,4,2025-10-24 11:00:00,Salida,10,50,40,Juan Lopez
8,2,2025-10-24 12:00:00,Ajuste,5,30,35,Carmen Flores
9,1,2025-10-24 13:00:00,Entrada,12,60,72,Andres Molina
10,5,2025-10-24 14:00:00,Salida,7,80,73,Laura Perez
