nombre,apellido,dui,telefono,correo,direccion
Carlos,Lemus,01234567-8,7012-1111,carlos.lemus@gmail.com,"Colonia San Benito, Avenida Espanhia #25, Distrito San Salvador Centro, San Salvador"
Ana,Guzman,02345678-9,7013-2222,ana.guzman@outlook.com,"Colonia San Benito, Calle La Mascota #12, Distrito San Salvador Centro, San Salvador"
Ricardo,Flores,03456789-0,7014-3333,ricardo.flores@yahoo.com,"Colonia Centro, Avenida Independencia #34, Distrito Santa Ana Centro, Santa Ana"
Sonia,Mendoza,04567890-1,7015-4444,sonia.mendoza@gmail.com,"Colonia Ciudad Jardin, Calle Los Laureles #8, Distrito San Miguel Centro, San Miguel"
Jorge,Morales,05678901-2,7016-5555,jorge.morales@protonmail.com,"Colonia El Calvario, Calle Principal #5, Distrito Chalatenango Centro, Chalatenango"
Maria,Vasquez,06789012-3,7017-6666,maria.vasquez@hotmail.com,"Colonia Santa Marta, 2a Avenida Norte #22, Distrito Sonsonate Centro, Sonsonate"
Luis,Campos,07890123-4,7018-7777,luis.campos@gmail.com,"Colonia Quezaltepeque, Calle San Antonio #14, Distrito Santa Tecla, La Libertad"
Diana,Rojas,08901234-5,7019-8888,diana.rojas@icloud.com,"Colonia San Francisco, 4a Calle Oriente #3, Distrito San Vicente, San Vicente"
Julio,Ramirez,09012345-6,7020-9999,julio.ramirez@outlook.com,"Colonia Miramonte, Calle Los Olmos #11, Distrito San Salvador Centro, San Salvador"
Gabriela,Martinez,10123456-7,7021-0000,gabriela.martinez@gmail.com,"Colonia El Calvario, 1a Calle Poniente #7, Distrito Usulutan Centro, Usulutan"
